"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"Email & Office365 & Microsoft Azure","2026-06-17","Azure, Email & Microsoft 365 & บริการซอฟต์แวร์, Microsoft 365, Microsoft Azure, ขั้นตอน, ดาวน์โหลด, รีเซ็ต, ลืม, วิธี, สมัคร, อีเมล","Email & Microsoft 365 & บริการซอฟต์แวร์","สมัคร/เปลี่ยนรหัสผ่าน Email & Microsoft 365
👉 https://sh.pcru.ac.th/y97j
คู่มือสมัคร Microsoft 365 
👉 https://sh.pcru.ac.th/MmAK
บริการซอฟต์แวร์ Microsoft Azure 
👉 https://sh.pcru.ac.th/x9zX"
"แก้ปัญหาด้าน IT","2026-06-21","IT, ซ่อม, บริการ IT อื่น ๆ, ปัญหา, อินเทอร์เน็ต, แก้, แจ้ง","บริการ IT อื่น ๆ","ติดต่อ: สํานักวิทยบริการและเทคโนโลยีสารสนเทศ
🔵 FB: https://www.facebook.com/aritc.pcru"
"ค้นงานวิจัย และ E-book","2026-06-23","E-book, งานวิจัย, ฐานข้อมูล, บทความ, บริการ, บริการ IT อื่น ๆ, ออนไลน์","บริการ IT อื่น ๆ","บริการฐานข้อมูลออนไลน์ 
👉https://sh.pcru.ac.th/wojz"
"Short URL PCRU","2026-06-26","URL, บริการ IT อื่น ๆ, ย่อ, ลิงค์, สร้าง, สั้น","บริการ IT อื่น ๆ","เข้าสู่ลิงค์สร้าง Short URL PCRU 
👉 https://sh.pcru.ac.th/EMRn"
"บริการ VPN PCRU","2026-06-15","VPN, wifi, นอก, บริการ, บริการ IT อื่น ๆ, ลิงค์, ใช้งาน","บริการ IT อื่น ๆ","ขั้นตอนในการใช้งาน VPN (ใช้งาน wifi นอกมหาวิทยาลัย)
👉 https://sh.pcru.ac.th/2KxY"
"พิกัด สำนักวิทยบริการ และเทคโนโลยีสารสนเทศ (ห้องคอมพิวเตอร์)","2026-06-28","ตำแหน่ง, พิกัด, สำนักวิทยบริการ, ห้องคอมพิวเตอร์","การสอนออนไลน์","https://maps.app.goo.gl/5WAEVbiaBMBMZLPy9"
"เกี่ยวกับห้องคอมพิวเตอร์","2026-06-30","การสอนออนไลน์, คอมพิวเตอร์, บริการ IT อื่น ๆ, ปิด, หยุด, ห้องคอมพิวเตอร์, เปิด, เวลา","บริการ IT อื่น ๆ","ห้องคอมพิวเตอร์  
อยู่ที่: อาคารบรรณราชนครินทร์
เวลาทำการ:
จันทร์ - ศุกร์: 07.30 – 17.00 น.
เสาร์ - อาทิตย์: 08.30 – 17.00 น. (หยุดวันนักขัตฤกษ์)"
"อายุการใช้งานบัญชีอีเมลนักศึกษา","2026-07-23","Email & Microsoft 365 & บริการซอฟต์แวร์, การใช้งาน, ลบ, หมดอายุ, อายุ, อีเมล, อีเมล และ Microsoft 365","Email & Microsoft 365 & บริการซอฟต์แวร์","ไม่อยากโดนลบเมลนักศึกษา...ต้องอ่าน!
🎓อีเมลนักศึกษาสามารถใช้งานได้ต่อเนื่อง แม้จะสำเร็จการศึกษาแล้ว 
⚠️แต่มีต้องมีการใช้งานอย่างสม่ำเสมอ ไม่เช่นนั้นทำการลบอีเมล"
"เกี่ยวกับอินเทอร์เน็ต","2026-07-24","คู่มือ, ซ่อม, วิธี, สมัคร, อินเทอร์เน็ต, แจ้ง, ใช้งาน","อินเทอร์เน็ต","สมัครใช้งานอินเทอร์เน็ต
👉 https://sh.pcru.ac.th/dKDA
คู่มือการใช้งานอินเทอร์เน็ต
👉 https://sh.pcru.ac.th/aMa6
แจ้งซ่อมอินเทอร์เน็ต
👉 https://sh.pcru.ac.th/Jq3q
ข้อมูลการใช้งานอินเทอร์เน็ต
https://sh.pcru.ac.th/9kaY"
"การสอนออนไลน์ Google & Team","2026-07-27","google classroom, Team, การสอนออนไลน์, สอน, ออนไลน์, เรียน","การสอนออนไลน์","การสอนออนไลน์ Google
👉 https://sh.pcru.ac.th/p9Zo
การสอนออนไลน์ Team
👉 https://arit.pcru.ac.th/teams/"
